"pPostcode","pCity","pState","pCountryCode"
"02709","Simpang Ampat","Perlis","MY"
"02800","Simpang Ampat","Perlis","MY"
"05000","Alor Setar","Kedah","MY"
"05050","Alor Setar","Kedah","MY"
"05100","Alor Setar","Kedah","MY"
"05150","Alor Setar","Kedah","MY"
"05200","Alor Setar","Kedah","MY"
"05250","Alor Setar","Kedah","MY"
"05300","Alor Setar","Kedah","MY"
"05350","Alor Setar","Kedah","MY"
"05400","Alor Setar","Kedah","MY"
"05460","Alor Setar","Kedah","MY"
"05500","Alor Setar","Kedah","MY"
"05502","Alor Setar","Kedah","MY"
"05503","Alor Setar","Kedah","MY"
"05504","Alor Setar","Kedah","MY"
"05505","Alor Setar","Kedah","MY"
"05506","Alor Setar","Kedah","MY"
"05508","Alor Setar","Kedah","MY"
"05512","Alor Setar","Kedah","MY"
"05514","Alor Setar","Kedah","MY"
"05516","Alor Setar","Kedah","MY"
"05517","Alor Setar","Kedah","MY"
"05518","Alor Setar","Kedah","MY"
"05520","Alor Setar","Kedah","MY"
"05532","Alor Setar","Kedah","MY"
"05534","Alor Setar","Kedah","MY"
"05536","Alor Setar","Kedah","MY"
"05538","Alor Setar","Kedah","MY"
"05550","Alor Setar","Kedah","MY"
"05551","Alor Setar","Kedah","MY"
"05552","Alor Setar","Kedah","MY"
"05556","Alor Setar","Kedah","MY"
"05558","Alor Setar","Kedah","MY"
"05560","Alor Setar","Kedah","MY"
"05564","Alor Setar","Kedah","MY"
"05576","Alor Setar","Kedah","MY"
"05578","Alor Setar","Kedah","MY"
"05580","Alor Setar","Kedah","MY"
"05582","Alor Setar","Kedah","MY"
"05586","Alor Setar","Kedah","MY"
"05590","Alor Setar","Kedah","MY"
"05592","Alor Setar","Kedah","MY"
"05594","Alor Setar","Kedah","MY"
"05600","Alor Setar","Kedah","MY"
"05604","Alor Setar","Kedah","MY"
"05610","Alor Setar","Kedah","MY"
"05612","Alor Setar","Kedah","MY"
"05614","Alor Setar","Kedah","MY"
"05620","Alor Setar","Kedah","MY"
"05621","Alor Setar","Kedah","MY"
"05622","Alor Setar","Kedah","MY"
"05626","Alor Setar","Kedah","MY"
"05628","Alor Setar","Kedah","MY"
"05630","Alor Setar","Kedah","MY"
"05632","Alor Setar","Kedah","MY"
"05644","Alor Setar","Kedah","MY"
"05660","Alor Setar","Kedah","MY"
"05661","Alor Setar","Kedah","MY"
"05664","Alor Setar","Kedah","MY"
"05670","Alor Setar","Kedah","MY"
"05672","Alor Setar","Kedah","MY"
"05673","Alor Setar","Kedah","MY"
"05674","Alor Setar","Kedah","MY"
"05675","Alor Setar","Kedah","MY"
"05676","Alor Setar","Kedah","MY"
"05680","Alor Setar","Kedah","MY"
"05690","Alor Setar","Kedah","MY"
"05696","Alor Setar","Kedah","MY"
"05700","Alor Setar","Kedah","MY"
"05710","Alor Setar","Kedah","MY"
"05720","Alor Setar","Kedah","MY"
"05990","Alor Setar","Kedah","MY"
"06000","Jitra","Kedah","MY"
"06007","Jitra","Kedah","MY"
"06009","Jitra","Kedah","MY"
"06010","Changloon","Kedah","MY"
"06010","Universiti Utara Malaysia","Kedah","MY"
"06050","Bukit Kayu Hitam","Kedah","MY"
"06100","Kodiang","Kedah","MY"
"06150","Ayer Hitam","Kedah","MY"
"06200","Kepala Batas","Kedah","MY"
"06207","Kepala Batas","Kedah","MY"
"06209","Kepala Batas","Kedah","MY"
"06250","Alor Setar","Kedah","MY"
"06300","Kuala Nerang","Kedah","MY"
"06350","Pokok Sena","Kedah","MY"
"06400","Pokok Sena","Kedah","MY"
"06500","Langgar","Kedah","MY"
"06507","Langgar","Kedah","MY"
"06509","Alor Setar","Kedah","MY"
"06550","Alor Setar","Kedah","MY"
"06570","Alor Setar","Kedah","MY"
"06600","Kuala Kedah","Kedah","MY"
"06650","Simpang Empat","Kedah","MY"
"06660","Alor Setar","Kedah","MY"
"06700","Pendang","Kedah","MY"
"06707","Pendang","Kedah","MY"
"06709","Pendang","Kedah","MY"
"06710","Pendang","Kedah","MY"
"06720","Pendang","Kedah","MY"
"06750","Pendang","Kedah","MY"
"06760","Pokok Sena","Kedah","MY"
"06800","Kota Sarang Semut","Kedah","MY"
"06900","Yan","Kedah","MY"
"06910","Yan","Kedah","MY"
"07000","Langkawi","Kedah","MY"
"07007","Langkawi","Kedah","MY"
"07009","Langkawi","Kedah","MY"
"08000","Sungai Petani","Kedah","MY"
"08007","Sungai Petani","Kedah","MY"
"08009","Sungai Petani","Kedah","MY"
"08010","Sungai Petani","Kedah","MY"
"08100","Bedong","Kedah","MY"
"08110","Bedong","Kedah","MY"
"08200","Sik","Kedah","MY"
"08210","Sik","Kedah","MY"
"08300","Gurun","Kedah","MY"
"08320","Jeniang","Kedah","MY"
"08330","Gurun","Kedah","MY"
"08340","Sik","Kedah","MY"
"08400","Merbok","Kedah","MY"
"08407","Merbok","Kedah","MY"
"08409","Merbok","Kedah","MY"
"08500","Kota Kuala Muda","Kedah","MY"
"08507","Kota Kuala Muda","Kedah","MY"
"08509","Kota Kuala Muda","Kedah","MY"
"08600","Sungai Petani","Kedah","MY"
"08700","Jeniang","Kedah","MY"
"08800","Gurun","Kedah","MY"
"09000","Kulim","Kedah","MY"
"09007","Kulim","Kedah","MY"
"09009","Kulim","Kedah","MY"
"09010","Kulim","Kedah","MY"
"09020","Kulim","Kedah","MY"
"09090","Kulim","Kedah","MY"
"09100","Baling","Kedah","MY"
"09110","Kuala Pegang","Kedah","MY"
"09120","Baling","Kedah","MY"
"09130","Baling","Kedah","MY"
"09200","Kupang","Kedah","MY"
"09300","Kuala Ketil","Kedah","MY"
"09310","Kuala Ketil","Kedah","MY"
"09400","Padang Serai","Kedah","MY"
"09410","Padang Serai","Kedah","MY"
"09600","Lunas","Kedah","MY"
"09700","Karangan","Kedah","MY"
"09800","Serdang","Kedah","MY"
"09810","Serdang","Kedah","MY"
"10000","Pulau Pinang","Pulau Pinang","MY"
"10050","Pulau Pinang","Pulau Pinang","MY"
"10100","Pulau Pinang","Pulau Pinang","MY"
"10150","Pulau Pinang","Pulau Pinang","MY"
"10200","Pulau Pinang","Pulau Pinang","MY"
"10250","Pulau Pinang","Pulau Pinang","MY"
"10300","Pulau Pinang","Pulau Pinang","MY"
"10350","Pulau Pinang","Pulau Pinang","MY"
"10400","Pulau Pinang","Pulau Pinang","MY"
"10450","Pulau Pinang","Pulau Pinang","MY"
"10460","Pulau Pinang","Pulau Pinang","MY"
"10470","Pulau Pinang","Pulau Pinang","MY"
"10500","Pulau Pinang","Pulau Pinang","MY"
"10502","Pulau Pinang","Pulau Pinang","MY"
"10503","Pulau Pinang","Pulau Pinang","MY"
"10504","Pulau Pinang","Pulau Pinang","MY"
"10505","Pulau Pinang","Pulau Pinang","MY"
"10506","Pulau Pinang","Pulau Pinang","MY"
"10508","Pulau Pinang","Pulau Pinang","MY"
"10512","Pulau Pinang","Pulau Pinang","MY"
"10514","Pulau Pinang","Pulau Pinang","MY"
"10516","Pulau Pinang","Pulau Pinang","MY"
"10518","Pulau Pinang","Pulau Pinang","MY"
"10524","Pulau Pinang","Pulau Pinang","MY"
"10534","Pulau Pinang","Pulau Pinang","MY"
"10538","Pulau Pinang","Pulau Pinang","MY"
"10540","Pulau Pinang","Pulau Pinang","MY"
"10542","Pulau Pinang","Pulau Pinang","MY"
"10546","Pulau Pinang","Pulau Pinang","MY"
"10550","Pulau Pinang","Pulau Pinang","MY"
"10551","Pulau Pinang","Pulau Pinang","MY"
"10552","Pulau Pinang","Pulau Pinang","MY"
"10558","Pulau Pinang","Pulau Pinang","MY"
"10560","Pulau Pinang","Pulau Pinang","MY"
"10564","Pulau Pinang","Pulau Pinang","MY"
"10566","Pulau Pinang","Pulau Pinang","MY"
"10570","Pulau Pinang","Pulau Pinang","MY"
"10576","Pulau Pinang","Pulau Pinang","MY"
"10578","Pulau Pinang","Pulau Pinang","MY"
"10582","Pulau Pinang","Pulau Pinang","MY"
"10590","Pulau Pinang","Pulau Pinang","MY"
"10592","Pulau Pinang","Pulau Pinang","MY"
"10593","Pulau Pinang","Pulau Pinang","MY"
"10594","Pulau Pinang","Pulau Pinang","MY"
"10596","Pulau Pinang","Pulau Pinang","MY"
"10600","Pulau Pinang","Pulau Pinang","MY"
"10604","Pulau Pinang","Pulau Pinang","MY"
"10609","Pulau Pinang","Pulau Pinang","MY"
"10610","Pulau Pinang","Pulau Pinang","MY"
"10612","Pulau Pinang","Pulau Pinang","MY"
"10620","Pulau Pinang","Pulau Pinang","MY"
"10622","Pulau Pinang","Pulau Pinang","MY"
"10626","Pulau Pinang","Pulau Pinang","MY"
"10628","Pulau Pinang","Pulau Pinang","MY"
"10634","Pulau Pinang","Pulau Pinang","MY"
"10646","Pulau Pinang","Pulau Pinang","MY"
"10648","Pulau Pinang","Pulau Pinang","MY"
"10660","Pulau Pinang","Pulau Pinang","MY"
"10661","Pulau Pinang","Pulau Pinang","MY"
"10662","Pulau Pinang","Pulau Pinang","MY"
"10670","Pulau Pinang","Pulau Pinang","MY"
"10672","Pulau Pinang","Pulau Pinang","MY"
"10673","Pulau Pinang","Pulau Pinang","MY"
"10674","Pulau Pinang","Pulau Pinang","MY"
"10676","Pulau Pinang","Pulau Pinang","MY"
"10690","Pulau Pinang","Pulau Pinang","MY"
"10710","Pulau Pinang","Pulau Pinang","MY"
"10720","Pulau Pinang","Pulau Pinang","MY"
"10730","Pulau Pinang","Pulau Pinang","MY"
"10740","Pulau Pinang","Pulau Pinang","MY"
"10750","Pulau Pinang","Pulau Pinang","MY"
"10760","Pulau Pinang","Pulau Pinang","MY"
"10770","Pulau Pinang","Pulau Pinang","MY"
"10780","Pulau Pinang","Pulau Pinang","MY"
"10790","Pulau Pinang","Pulau Pinang","MY"
"10800","Pulau Pinang","Pulau Pinang","MY"
"10810","Pulau Pinang","Pulau Pinang","MY"
"10820","Pulau Pinang","Pulau Pinang","MY"
"10830","Pulau Pinang","Pulau Pinang","MY"
"10840","Pulau Pinang","Pulau Pinang","MY"
"10850","Pulau Pinang","Pulau Pinang","MY"
"10910","Pulau Pinang","Pulau Pinang","MY"
"10920","Pulau Pinang","Pulau Pinang","MY"
"10990","Pulau Pinang","Pulau Pinang","MY"
"11000","Balik Pulau","Pulau Pinang","MY"
"11010","Balik Pulau","Pulau Pinang","MY"
"11020","Balik Pulau","Pulau Pinang","MY"
"11050","Pulau Pinang","Pulau Pinang","MY"
"11060","Pulau Pinang","Pulau Pinang","MY"
"11100","Batu Ferringhi","Pulau Pinang","MY"
"11200","Tanjong Bungah","Pulau Pinang","MY"
"11200","Tanjung Bungah","Pulau Pinang","MY"
"11300","Penang Hill","Pulau Pinang","MY"
"11400","Pulau Pinang","Pulau Pinang","MY"
"11409","Pulau Pinang","Pulau Pinang","MY"
"11500","Ayer Itam","Pulau Pinang","MY"
"11600","Jelutong","Pulau Pinang","MY"
"11609","Jelutong","Pulau Pinang","MY"
"11700","Gelugor","Pulau Pinang","MY"
"11800","USM Pulau Pinang","Pulau Pinang","MY"
"11900","Bayan Lepas","Pulau Pinang","MY"
"11910","Bayan Lepas","Pulau Pinang","MY"
"11920","Bayan Lepas","Pulau Pinang","MY"
"11950","Bayan Lepas","Pulau Pinang","MY"
"11960","Batu Maung","Pulau Pinang","MY"
"12000","Butterworth","Pulau Pinang","MY"
"12100","Butterworth","Pulau Pinang","MY"
"12200","Butterworth","Pulau Pinang","MY"
"12300","Butterworth","Pulau Pinang","MY"
"12700","Butterworth","Pulau Pinang","MY"
"12710","Butterworth","Pulau Pinang","MY"
"12720","Butterworth","Pulau Pinang","MY"
"12990","Butterworth","Pulau Pinang","MY"
"13000","Butterworth","Pulau Pinang","MY"
"13009","Butterworth","Pulau Pinang","MY"
"13020","Butterworth","Pulau Pinang","MY"
"13050","Butterworth","Pulau Pinang","MY"
"13100","Penaga","Pulau Pinang","MY"
"13110","Penaga","Pulau Pinang","MY"
"13200","Kepala Batas","Pulau Pinang","MY"
"13210","Kepala Batas","Pulau Pinang","MY"
"13220","Kepala Batas","Pulau Pinang","MY"
"13300","Tasek Gelugor","Pulau Pinang","MY"
"13300","Tasek Gelugur","Pulau Pinang","MY"
"13310","Tasek Gelugor","Pulau Pinang","MY"
"13400","Butterworth","Pulau Pinang","MY"
"13409","Butterworth","Pulau Pinang","MY"
"13500","Permatang Pauh","Pulau Pinang","MY"
"13600","Perai","Pulau Pinang","MY"
"13700","Perai","Pulau Pinang","MY"
"13800","Butterworth","Pulau Pinang","MY"
"14000","Bukit Mertajam","Pulau Pinang","MY"
"14007","Bukit Mertajam","Pulau Pinang","MY"
"14009","Bukit Mertajam","Pulau Pinang","MY"
"14020","Bukit Mertajam","Pulau Pinang","MY"
"14100","Simpang Ampat","Pulau Pinang","MY"
"14101","Simpang Ampat","Pulau Pinang","MY"
"14110","Simpang Ampat","Pulau Pinang","MY"
"14120","Simpang Ampat","Pulau Pinang","MY"
"14200","Sungai Jawi","Pulau Pinang","MY"
"14290","Bandar Baharu","Kedah","MY"
"14300","Nibong Tebal","Pulau Pinang","MY"
"14310","Nibong Tebal","Pulau Pinang","MY"
"14320","Nibong Tebal","Pulau Pinang","MY"
"14390","Bandar Baharu","Kedah","MY"
"14400","Kubang Semang","Pulau Pinang","MY"
"15000","Kota Bharu","Kelantan","MY"
"15050","Kota Bharu","Kelantan","MY"
"15100","Kota Bharu","Kelantan","MY"
"15150","Kota Bharu","Kelantan","MY"
"15159","Kota Bharu","Kelantan","MY"
"15200","Kota Bharu","Kelantan","MY"
"15300","Kota Bharu","Kelantan","MY"
"15350","Kota Bharu","Kelantan","MY"
"15400","Kota Bharu","Kelantan","MY"
"15500","Kota Bharu","Kelantan","MY"
"15502","Kota Bharu","Kelantan","MY"
"15503","Kota Bharu","Kelantan","MY"
"15504","Kota Bharu","Kelantan","MY"
"15505","Kota Bharu","Kelantan","MY"
"15506","Kota Bharu","Kelantan","MY"
"15508","Kota Bharu","Kelantan","MY"
"15512","Kota Bharu","Kelantan","MY"
"15514","Kota Bharu","Kelantan","MY"
"15516","Kota Bharu","Kelantan","MY"
"15517","Kota Bharu","Kelantan","MY"
"15518","Kota Bharu","Kelantan","MY"
"15519","Kota Bharu","Kelantan","MY"
"15520","Kota Bharu","Kelantan","MY"
"15524","Kota Bharu","Kelantan","MY"
"15529","Kota Bharu","Kelantan","MY"
"15532","Kota Bharu","Kelantan","MY"
"15534","Kota Bharu","Kelantan","MY"
"15536","Kota Bharu","Kelantan","MY"
"15538","Kota Bharu","Kelantan","MY"
"15540","Kota Bharu","Kelantan","MY"
"15546","Kota Bharu","Kelantan","MY"
"15548","Kota Bharu","Kelantan","MY"
"15550","Kota Bharu","Kelantan","MY"
"15551","Kota Bharu","Kelantan","MY"
"15556","Kota Bharu","Kelantan","MY"
"15558","Kota Bharu","Kelantan","MY"
"15560","Kota Bharu","Kelantan","MY"
"15564","Kota Bharu","Kelantan","MY"
"15570","Kota Bharu","Kelantan","MY"
"15572","Kota Bharu","Kelantan","MY"
"15576","Kota Bharu","Kelantan","MY"
"15578","Kota Bharu","Kelantan","MY"
"15582","Kota Bharu","Kelantan","MY"
"15586","Kota Bharu","Kelantan","MY"
"15590","Kota Bharu","Kelantan","MY"
"15592","Kota Bharu","Kelantan","MY"
"15594","Kota Bharu","Kelantan","MY"
"15596","Kota Bharu","Kelantan","MY"
"15600","Kota Bharu","Kelantan","MY"
"15604","Kota Bharu","Kelantan","MY"
"15608","Kota Bharu","Kelantan","MY"
"15609","Kota Bharu","Kelantan","MY"
"15612","Kota Bharu","Kelantan","MY"
"15614","Kota Bharu","Kelantan","MY"
"15616","Kota Bharu","Kelantan","MY"
"15622","Kota Bharu","Kelantan","MY"
"15623","Kota Bharu","Kelantan","MY"
"15626","Kota Bharu","Kelantan","MY"
"15628","Kota Bharu","Kelantan","MY"
"15630","Kota Bharu","Kelantan","MY"
"15632","Kota Bharu","Kelantan","MY"
"15634","Kota Bharu","Kelantan","MY"
"15644","Kota Bharu","Kelantan","MY"
"15646","Kota Bharu","Kelantan","MY"
"15648","Kota Bharu","Kelantan","MY"
"15658","Kota Bharu","Kelantan","MY"
"15660","Kota Bharu","Kelantan","MY"
"15661","Kota Bharu","Kelantan","MY"
"15664","Kota Bharu","Kelantan","MY"
"15670","Kota Bharu","Kelantan","MY"
"15672","Kota Bharu","Kelantan","MY"
"15673","Kota Bharu","Kelantan","MY"
"15674","Kota Bharu","Kelantan","MY"
"15676","Kota Bharu","Kelantan","MY"
"15680","Kota Bharu","Kelantan","MY"
"15690","Kota Bharu","Kelantan","MY"
"15710","Kota Bharu","Kelantan","MY"
"15720","Kota Bharu","Kelantan","MY"
"15730","Kota Bharu","Kelantan","MY"
"15740","Kota Bharu","Kelantan","MY"
"15988","Kota Bharu","Kelantan","MY"
"15990","Kota Bharu","Kelantan","MY"
"16010","Kota Bharu","Kelantan","MY"
"16020","Bachok","Kelantan","MY"
"16030","Bachok","Kelantan","MY"
"16040","Wakaf Bharu","Kelantan","MY"
"16050","Bachok","Kelantan","MY"
"16060","Bachok","Kelantan","MY"
"16070","Bachok","Kelantan","MY"
"16080","Tumpat","Kelantan","MY"
"16090","Bachok","Kelantan","MY"
"16100","Kota Bharu","Kelantan","MY"
"16109","Kota Bharu","Kelantan","MY"
"16150","Kota Bharu","Kelantan","MY"
"16200","Tumpat","Kelantan","MY"
"16210","Tumpat","Kelantan","MY"
"16250","Wakaf Bharu","Kelantan","MY"
"16300","Bachok","Kelantan","MY"
"16310","Bachok","Kelantan","MY"
"16320","Bachok","Kelantan","MY"
"16400","Melor","Kelantan","MY"
"16450","Ketereh","Kelantan","MY"
"16500","Kem Desa Pahlawan","Kelantan","MY"
"16600","Pulai Chondong","Kelantan","MY"
"16700","Cherang Ruku","Kelantan","MY"
"16800","Pasir Puteh","Kelantan","MY"
"16810","Selising","Kelantan","MY"
"17000","Pasir Mas","Kelantan","MY"
"17007","Pasir Mas","Kelantan","MY"
"17009","Pasir Mas","Kelantan","MY"
"17010","Pasir Mas","Kelantan","MY"
"17020","Pasir Mas","Kelantan","MY"
"17030","Pasir Mas","Kelantan","MY"
"17040","Pasir Mas","Kelantan","MY"
"17050","Pasir Mas","Kelantan","MY"
"17060","Pasir Mas","Kelantan","MY"
"17070","Pasir Mas","Kelantan","MY"
"17200","Rantau Panjang","Kelantan","MY"
"17500","Tanah Merah","Kelantan","MY"
"17507","Tanah Merah","Kelantan","MY"
"17509","Tanah Merah","Kelantan","MY"
"17510","Tanah Merah","Kelantan","MY"
"17600","Jeli","Kelantan","MY"
"17610","Kuala Balah","Kelantan","MY"
"17700","Ayer Lanas","Kelantan","MY"
"18000","Kuala Krai","Kelantan","MY"
"18050","Kuala Krai","Kelantan","MY"
"18200","Dabong","Kelantan","MY"
"18300","Gua Musang","Kelantan","MY"
"18400","Temangan","Kelantan","MY"
"18500","Machang","Kelantan","MY"
"20000","Kuala Terengganu","Terengganu","MY"
"20050","Kuala Terengganu","Terengganu","MY"
"20100","Kuala Terengganu","Terengganu","MY"
"20200","Kuala Terengganu","Terengganu","MY"
"20300","Kuala Terengganu","Terengganu","MY"
"20400","Kuala Terengganu","Terengganu","MY"
"20500","Kuala Terengganu","Terengganu","MY"
"20502","Kuala Terengganu","Terengganu","MY"
"20503","Kuala Terengganu","Terengganu","MY"
"20504","Kuala Terengganu","Terengganu","MY"
"20505","Kuala Terengganu","Terengganu","MY"
"20506","Kuala Terengganu","Terengganu","MY"
"20508","Kuala Terengganu","Terengganu","MY"
"20512","Kuala Terengganu","Terengganu","MY"
"20514","Kuala Terengganu","Terengganu","MY"
"20516","Kuala Terengganu","Terengganu","MY"
"20517","Kuala Terengganu","Terengganu","MY"
"20518","Kuala Terengganu","Terengganu","MY"
"20519","Kuala Terengganu","Terengganu","MY"
"20520","Kuala Terengganu","Terengganu","MY"
"20532","Kuala Terengganu","Terengganu","MY"
"20534","Kuala Terengganu","Terengganu","MY"
"20536","Kuala Terengganu","Terengganu","MY"
"20538","Kuala Terengganu","Terengganu","MY"
"20540","Kuala Terengganu","Terengganu","MY"
"20542","Kuala Terengganu","Terengganu","MY"
"20546","Kuala Terengganu","Terengganu","MY"
"20548","Kuala Terengganu","Terengganu","MY"
"20550","Kuala Terengganu","Terengganu","MY"
"20551","Kuala Terengganu","Terengganu","MY"
"20552","Kuala Terengganu","Terengganu","MY"
"20554","Kuala Terengganu","Terengganu","MY"
"20556","Kuala Terengganu","Terengganu","MY"
"20560","Kuala Terengganu","Terengganu","MY"
"20564","Kuala Terengganu","Terengganu","MY"
"20566","Kuala Terengganu","Terengganu","MY"
"20568","Kuala Terengganu","Terengganu","MY"
"20570","Kuala Terengganu","Terengganu","MY"
"20572","Kuala Terengganu","Terengganu","MY"
"20576","Kuala Terengganu","Terengganu","MY"
"20578","Kuala Terengganu","Terengganu","MY"
"20582","Kuala Terengganu","Terengganu","MY"
"20586","Kuala Terengganu","Terengganu","MY"
"20590","Kuala Terengganu","Terengganu","MY"
"20592","Kuala Terengganu","Terengganu","MY"
"20596","Kuala Terengganu","Terengganu","MY"
"20600","Kuala Terengganu","Terengganu","MY"
"20604","Kuala Terengganu","Terengganu","MY"
"20606","Kuala Terengganu","Terengganu","MY"
"20608","Kuala Terengganu","Terengganu","MY"
"20609","Kuala Terengganu","Terengganu","MY"
"20610","Kuala Terengganu","Terengganu","MY"
"20612","Kuala Terengganu","Terengganu","MY"
"20614","Kuala Terengganu","Terengganu","MY"
"20618","Kuala Terengganu","Terengganu","MY"
"20620","Kuala Terengganu","Terengganu","MY"
"20622","Kuala Terengganu","Terengganu","MY"
"20626","Kuala Terengganu","Terengganu","MY"
"20628","Kuala Terengganu","Terengganu","MY"
"20630","Kuala Terengganu","Terengganu","MY"
"20632","Kuala Terengganu","Terengganu","MY"
"20646","Kuala Terengganu","Terengganu","MY"
"20648","Kuala Terengganu","Terengganu","MY"
"20656","Kuala Terengganu","Terengganu","MY"
"20658","Kuala Terengganu","Terengganu","MY"
"20660","Kuala Terengganu","Terengganu","MY"
"20661","Kuala Terengganu","Terengganu","MY"
"20662","Kuala Terengganu","Terengganu","MY"
"20664","Kuala Terengganu","Terengganu","MY"
"20668","Kuala Terengganu","Terengganu","MY"
"20670","Kuala Terengganu","Terengganu","MY"
"20672","Kuala Terengganu","Terengganu","MY"
"20673","Kuala Terengganu","Terengganu","MY"
"20674","Kuala Terengganu","Terengganu","MY"
"20676","Kuala Terengganu","Terengganu","MY"
"20680","Kuala Terengganu","Terengganu","MY"
"20690","Kuala Terengganu","Terengganu","MY"
"20698","Kuala Terengganu","Terengganu","MY"
"20700","Kuala Terengganu","Terengganu","MY"
"20710","Kuala Terengganu","Terengganu","MY"
"20720","Kuala Terengganu","Terengganu","MY"
"20900","Kuala Terengganu","Terengganu","MY"
"20902","Kuala Terengganu","Terengganu","MY"
"20904","Kuala Terengganu","Terengganu","MY"
"20906","Kuala Terengganu","Terengganu","MY"
"20908","Kuala Terengganu","Terengganu","MY"
"20910","Kuala Terengganu","Terengganu","MY"
"20912","Kuala Terengganu","Terengganu","MY"
"20914","Kuala Terengganu","Terengganu","MY"
"20916","Kuala Terengganu","Terengganu","MY"
"20918","Kuala Terengganu","Terengganu","MY"
"20920","Kuala Terengganu","Terengganu","MY"
"20922","Kuala Terengganu","Terengganu","MY"
"20924","Kuala Terengganu","Terengganu","MY"
"20926","Kuala Terengganu","Terengganu","MY"
"20928","Kuala Terengganu","Terengganu","MY"
"20930","Kuala Terengganu","Terengganu","MY"
"20990","Kuala Terengganu","Terengganu","MY"
"21000","Kuala Terengganu","Terengganu","MY"
"21009","Kuala Terengganu","Terengganu","MY"
"21010","Kuala Terengganu","Terengganu","MY"
"21020","Kuala Terengganu","Terengganu","MY"
"21030","Kuala Terengganu","Terengganu","MY"
"21040","Kuala Terengganu","Terengganu","MY"
"21060","Kuala Terengganu","Terengganu","MY"
"21070","Kuala Terengganu","Terengganu","MY"
"21080","Kuala Terengganu","Terengganu","MY"
"21090","Kuala Terengganu","Terengganu","MY"
"21100","Kuala Terengganu","Terengganu","MY"
"21109","Kuala Terengganu","Terengganu","MY"
"21200","Kuala Terengganu","Terengganu","MY"
"21209","Kuala Terengganu","Terengganu","MY"
"21210","Kuala Terengganu","Terengganu","MY"
"21220","Kuala Terengganu","Terengganu","MY"
"21300","Kuala Terengganu","Terengganu","MY"
"21309","Kuala Terengganu","Terengganu","MY"
"21400","Bukit Payong","Terengganu","MY"
"21450","Chalok","Terengganu","MY"
"21500","Sungai Tong","Terengganu","MY"
"21600","Marang","Terengganu","MY"
"21610","Marang","Terengganu","MY"
"21700","Kuala Berang","Terengganu","MY"
"21800","Ajil","Terengganu","MY"
"21810","Ajil","Terengganu","MY"
"21820","Ajil","Terengganu","MY"
"22000","Jerteh","Terengganu","MY"
"22010","Jerteh","Terengganu","MY"
"22020","Jerteh","Terengganu","MY"
"22100","Permaisuri","Terengganu","MY"
"22107","Permaisuri","Terengganu","MY"
"22109","Permaisuri","Terengganu","MY"
